employment_type,required_experience,required_education,company_profile_length,description_length,requirements_length,benefits_length,industry_SWOE,function_SWOE,from_US,money_in_title,mentions_salary,telecommuting,has_company_logo,has_questions,has_email,has_phone,has_url,has_fraud_bigram,has_legit_bigram,fraudulent
Unspecified,Unspecified,Unspecified,0,520,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Part-time,Associate,Associate Degree,0,65,11,0,-6.958428728,-3.549243538,1,0,1,0,0,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Unspecified,Unspecified,0,27,9,8,-2.169675367,-2.216166691,1,0,0,0,0,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,87,140,54,0,-2.823138472,-2.898919407,0,0,0,0,1,1,1,0,1,0,0,0
Full-time,Mid-Senior level,Unspecified,126,231,0,0,-6.160939402,-3.572720143,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,347,103,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,Unspecified,88,118,1,109,-2.633916062,-3.549243538,1,0,1,0,1,0,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,156,89,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Bachelor's Degree,19,118,160,15,-5.60491141,-4.708274573,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Unspecified,Master's Degree,168,516,43,0,-2.823138472,-5.736378521,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,108,156,91,45,-4.209827054,-4.403047312,0,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,105,121,91,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,54,85,161,16,-2.823138472,-2.898919407,0,0,0,0,1,0,1,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,232,125,71,0,-3.972869919,-2.391780105,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,Bachelor's Degree,0,24,20,4,-2.015685175,-7.772064107,0,0,1,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,160,91,0,-2.970474687,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,34,325,237,0,-0.590358018,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Full-time,Not Applicable,High School or equivalent,136,128,8,2,-2.823138472,-2.853301252,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,220,136,63,87,-3.056588271,-2.853301252,1,0,0,0,1,1,0,0,1,0,1,0
Full-time,Mid-Senior level,Certification,9,201,106,51,-3.972869919,-4.835137309,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,402,283,379,33,-2.498791322,-3.549243538,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,0,54,39,0,-5.60491141,-1.458699604,1,0,1,0,0,0,0,0,0,0,0,1
Full-time,Unspecified,Unspecified,34,155,0,0,-3.815002963,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,88,160,91,0,-2.970474687,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,156,91,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Associate,Bachelor's Degree,95,219,42,17,-6.244489818,-2.391780105,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Associate,Bachelor's Degree,88,268,142,0,-3.056588271,-3.943048543,1,0,0,0,1,0,0,0,0,1,1,0
Unspecified,Unspecified,Unspecified,99,363,0,0,-2.823138472,-2.391780105,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Entry level,Vocational,2,22,0,2,-1.843491945,-4.382942415,0,0,1,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,81,0,0,-2.856609018,-2.834705855,1,0,1,0,0,0,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,Professional,91,304,122,86,-0.590358018,-1.84570792,0,0,0,0,1,0,0,0,0,0,1,0
Other,Internship,Some College Coursework Completed,95,101,53,12,-3.437567297,-4.835137309,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,35,47,0,0,-1.843491945,-1.458699604,1,0,0,0,1,0,0,0,0,0,0,0
Part-time,Entry level,High School or equivalent,88,156,91,0,-9.740450581,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,220,89,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Not Applicable,Unspecified,0,227,9,11,-3.056588271,-2.351014509,1,0,0,0,0,0,0,1,0,0,1,0
Full-time,Unspecified,Unspecified,116,279,134,91,-4.308790063,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Executive,Doctorate,138,17,3,0,-2.169675367,-5.775604967,1,0,0,0,0,1,0,0,0,0,0,0
Temporary,Unspecified,Unspecified,136,137,0,0,-3.769772449,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Associate,Associate Degree,195,40,94,49,-9.996358046,-4.708274573,1,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,212,112,26,292,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,69,179,68,38,-3.972869919,-2.391780105,0,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,0,29,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,0,0,0
Temporary,Associate,Unspecified,136,151,5,3,-4.126344231,-3.549243538,0,0,0,0,1,1,0,0,1,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,232,146,49,22,-3.972869919,-7.772064107,0,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,32,19,3,-9.740450581,-2.898919407,1,0,0,0,1,0,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,125,163,39,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,227,27,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Unspecified,Unspecified,56,238,60,53,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Internship,Bachelor's Degree,0,229,229,229,-3.291500398,-2.898919407,0,0,1,1,0,0,0,0,1,0,1,0
Full-time,Not Applicable,High School or equivalent,136,112,8,2,-2.856609018,-2.853301252,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,40,77,224,50,-2.856609018,-4.403047312,0,0,1,0,1,1,0,0,0,0,1,0
Full-time,Associate,Bachelor's Degree,88,306,115,0,-2.633916062,-1.458699604,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Not Applicable,High School or equivalent,0,220,103,146,-3.769772449,-3.780290306,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Associate,Bachelor's Degree,112,148,24,21,-3.056588271,-4.708274573,0,0,1,0,1,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,69,55,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,0,0
Temporary,Internship,Master's Degree,136,178,84,228,-3.028126795,-3.780290306,0,0,0,0,1,1,0,0,0,1,0,0
Full-time,Associate,Unspecified,453,170,160,0,-2.823138472,-2.806386024,1,0,0,0,1,1,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,69,96,0,0,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Part-time,Entry level,Unspecified,0,99,221,21,-2.633916062,-2.898919407,1,0,1,0,0,1,0,0,0,1,1,0
Full-time,Unspecified,Unspecified,0,252,0,0,-3.972869919,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,1
Contract,Unspecified,Unspecified,82,351,83,0,-2.823138472,-2.898919407,1,0,0,1,1,0,0,0,1,1,1,0
Full-time,Mid-Senior level,Unspecified,214,327,0,2,-2.856609018,-3.981639589,1,0,1,0,1,1,0,1,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,0,82,0,0,-2.856609018,-2.834705855,1,0,1,0,0,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,259,19,428,0,-2.823138472,-2.216166691,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,389,8,4,0,-1.65492899,-3.549243538,0,0,0,0,1,1,1,0,1,0,1,0
Full-time,Entry level,High School or equivalent,35,66,0,0,-1.843491945,-2.216166691,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Not Applicable,Unspecified,175,130,55,28,-3.134094473,-4.171497564,1,0,1,0,1,1,0,0,0,0,1,0
Contract,Entry level,Bachelor's Degree,9,38,20,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,88,221,109,0,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Unspecified,50,172,94,29,-5.60491141,-2.391780105,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Executive,Bachelor's Degree,25,138,178,0,-7.104269424,-4.282798225,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Unspecified,0,21,1,0,-5.325283158,-2.898919407,0,0,0,0,0,1,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,70,295,0,-2.576965804,-3.981639589,0,0,0,0,0,0,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,261,190,0,-0.495323056,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Unspecified,Unspecified,Unspecified,36,18,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,64,311,60,0,-3.028126795,-3.550086188,1,0,0,0,1,1,0,0,0,0,1,0
Contract,Entry level,Bachelor's Degree,9,38,20,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Entry level,High School or equivalent,37,27,10,0,-0.590358018,-1.84570792,0,0,0,0,1,1,0,0,0,0,0,0
Full-time,Not Applicable,Unspecified,103,72,0,0,-2.856609018,-4.403047312,0,0,0,0,1,1,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,0,68,0,0,-2.823138472,-2.898919407,0,0,0,0,0,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,40,227,65,30,-3.972869919,-3.549243538,0,0,1,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,56,94,108,45,-3.028126795,-2.391780105,0,0,1,0,1,1,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,156,115,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Temporary,Internship,Unspecified,0,136,0,7,-2.823138472,-7.789313116,1,0,0,0,0,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,402,344,260,36,-2.498791322,-2.898919407,0,0,0,0,1,1,0,0,1,0,1,0
Part-time,Internship,Unspecified,111,251,0,0,-2.823138472,-3.981639589,1,0,0,0,1,0,0,0,1,1,1,0
Full-time,Entry level,High School or equivalent,88,160,108,0,-7.612026365,-1.458699604,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,145,150,165,94,-5.60491141,-2.898919407,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Entry level,High School or equivalent,88,277,72,0,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,87,104,194,57,-2.169675367,-5.775604967,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Director,Unspecified,212,123,96,322,-9.996358046,-2.391780105,1,0,1,0,1,0,0,0,0,0,0,0
Part-time,Associate,Unspecified,0,390,886,20,-1.843491945,-3.943048543,1,0,0,0,0,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,155,547,154,79,-1.006104093,-2.391780105,1,0,0,0,1,1,1,1,1,1,1,1
Full-time,Mid-Senior level,Unspecified,136,121,256,6,-3.056588271,-2.391780105,0,0,0,0,1,1,0,0,1,0,0,0
Contract,Entry level,Bachelor's Degree,9,38,20,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,High School or equivalent,100,117,65,68,-3.291500398,-2.853301252,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Director,Bachelor's Degree,0,680,0,39,-3.056588271,-2.898919407,0,0,0,0,0,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,113,223,284,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,145,91,0,-2.169675367,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Not Applicable,Unspecified,0,352,33,68,-5.60491141,-3.981639589,1,0,1,1,0,1,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,170,91,0,-3.056588271,-2.853301252,0,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,453,136,66,0,-2.823138472,-2.391780105,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,0,305,0,0,-2.169675367,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,1
Other,Not Applicable,Bachelor's Degree,57,184,151,0,-2.169675367,-2.216166691,0,0,0,0,1,1,0,0,0,1,1,0
Unspecified,Associate,Unspecified,106,158,94,132,-1.843491945,-3.549243538,1,0,0,0,0,1,0,0,0,1,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Unspecified,Unspecified,48,479,15,51,-9.996358046,-2.898919407,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Not Applicable,Unspecified,36,91,251,1,-2.498791322,-2.391780105,1,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,165,304,53,206,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,29,41,0,4,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,Unspecified,79,191,81,19,-5.60491141,-3.549243538,0,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,56,146,190,6,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,Unspecified,114,152,29,40,-2.169675367,-5.775604967,0,0,0,0,1,1,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,194,89,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,249,89,127,0,-2.823138472,-2.391780105,1,0,0,0,1,0,0,0,1,0,1,0
Full-time,Entry level,Unspecified,164,116,149,31,-2.834459249,-1.458699604,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,169,91,0,-7.612026365,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Entry level,High School or equivalent,88,245,88,0,-3.815002963,-2.853301252,0,0,0,0,1,0,0,0,0,1,1,0
Full-time,Unspecified,Unspecified,56,254,114,37,-0.495323056,-2.391780105,1,0,0,0,1,0,0,0,1,1,1,1
Full-time,Entry level,High School or equivalent,88,379,147,0,-3.815002963,-3.943048543,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Unspecified,Unspecified,130,274,0,66,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Unspecified,Bachelor's Degree,118,193,112,0,-3.972869919,-2.391780105,1,0,0,0,1,1,0,0,0,0,1,1
Full-time,Associate,Unspecified,90,227,72,30,-5.60491141,-2.853301252,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Director,Master's Degree,85,148,43,29,-7.16991887,-2.391780105,1,0,1,0,1,1,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,257,246,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,1,1,0
Full-time,Unspecified,Bachelor's Degree,143,240,72,0,-0.495323056,-2.391780105,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Not Applicable,High School or equivalent,136,100,12,2,-2.823138472,-1.458699604,0,0,0,0,1,1,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,83,287,97,3,-3.992018165,-2.216166691,1,0,1,0,1,1,0,0,1,0,1,0
Full-time,Not Applicable,Unspecified,116,123,352,44,-3.972869919,-2.391780105,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,116,183,134,90,-4.308790063,-2.898919407,1,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,135,244,15,12,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,156,91,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,High School or equivalent,136,102,12,2,-6.787626341,-1.458699604,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,0,88,0,0,-2.498791322,-2.853301252,0,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Unspecified,Unspecified,34,92,0,0,-2.856609018,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Contract,Entry level,Unspecified,0,73,38,0,-2.823138472,-3.080366137,1,0,0,0,0,0,0,0,1,0,0,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,279,176,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Associate,Unspecified,153,129,93,101,-3.056588271,-2.898919407,1,0,0,0,1,0,0,0,1,0,1,0
Full-time,Entry level,High School or equivalent,0,323,0,11,-3.056588271,-3.549243538,1,0,1,1,0,0,0,0,0,0,0,0
Full-time,Entry level,Bachelor's Degree,165,144,140,33,-1.674331188,-2.851360103,0,0,0,0,1,0,0,0,1,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,34,80,36,32,-5.60491141,-2.391780105,0,0,0,0,1,1,0,0,0,0,0,0
Full-time,Mid-Senior level,Certification,80,106,53,175,-0.495323056,-2.216166691,1,0,1,0,1,1,1,1,1,0,1,1
Full-time,Mid-Senior level,Bachelor's Degree,90,238,105,127,-1.006104093,-3.981639589,1,0,0,0,1,0,1,1,1,0,1,0
Full-time,Unspecified,Unspecified,292,601,0,0,-2.498791322,-2.898919407,0,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Not Applicable,Bachelor's Degree,0,91,46,55,-4.96652019,-5.736378521,0,0,1,0,0,0,0,0,0,1,0,0
Full-time,Associate,Bachelor's Degree,68,168,150,55,-2.155633135,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Contract,Entry level,High School or equivalent,40,84,24,22,-2.633916062,-2.853301252,0,0,1,0,1,1,0,0,0,0,0,0
Full-time,Unspecified,Bachelor's Degree,247,368,86,10,-9.740450581,-5.736378521,1,0,0,0,1,1,1,1,0,1,1,0
Full-time,Entry level,Bachelor's Degree,81,80,29,22,-7.492904484,-7.745619564,0,0,0,0,1,1,1,0,0,0,0,0
Part-time,Entry level,High School or equivalent,121,183,48,69,-2.498791322,-2.853301252,1,0,0,0,1,1,0,0,0,1,1,0
Full-time,Associate,Bachelor's Degree,40,174,56,7,-5.60491141,-2.970504436,0,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,55,155,78,0,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,0,0,1,0
Full-time,Entry level,Bachelor's Degree,88,410,0,0,-1.674331188,-4.403047312,1,0,0,0,1,0,0,1,1,0,1,0
Full-time,Unspecified,Unspecified,34,277,0,0,-5.60491141,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Full-time,Entry level,Bachelor's Degree,83,157,138,0,-3.769772449,-7.789313116,0,0,1,0,1,0,0,0,1,0,1,0
Full-time,Mid-Senior level,Unspecified,78,115,59,86,-3.437567297,-2.216166691,0,0,0,0,1,1,0,0,0,0,0,0
Full-time,Unspecified,Unspecified,34,110,0,0,-2.856609018,-2.898919407,1,0,0,0,0,0,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,110,373,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,159,127,70,0,-3.972869919,-3.981639589,0,0,0,0,1,0,1,1,1,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,93,159,54,61,-2.856609018,-4.403047312,0,0,1,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,14,183,57,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,176,319,39,0,-9.996358046,-3.080366137,0,0,0,0,1,1,0,0,0,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Associate,Unspecified,201,124,89,60,-6.787626341,-3.549243538,1,0,0,0,1,1,0,0,0,0,0,0
Part-time,Entry level,Vocational,131,111,94,90,-3.769772449,-3.549243538,0,0,0,0,1,0,0,0,0,1,0,0
Contract,Entry level,Bachelor's Degree,9,32,20,3,-9.740450581,-5.736378521,1,0,0,0,1,1,0,0,1,0,0,0
Full-time,Entry level,High School or equivalent,88,257,75,0,-3.056588271,-1.458699604,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Unspecified,126,170,162,10,-9.996358046,-2.391780105,1,0,0,0,1,0,0,0,1,0,1,0
Part-time,Unspecified,Unspecified,29,90,0,10,-2.169675367,-5.775604967,1,0,0,0,1,1,0,0,0,0,0,0
Full-time,Mid-Senior level,Unspecified,46,195,80,6,-6.715221103,-7.917538129,0,0,1,0,1,0,0,0,0,0,1,0
Full-time,Unspecified,Unspecified,116,242,182,166,-4.308790063,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Not Applicable,High School or equivalent,136,104,12,2,-2.834459249,-1.458699604,0,0,0,0,1,1,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,87,156,70,125,-5.60491141,-3.981639589,0,0,0,0,1,0,1,0,1,0,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,134,0,0,-3.447741164,-2.391780105,1,0,0,1,0,0,0,0,0,0,1,0
Full-time,Unspecified,Bachelor's Degree,155,193,112,0,-3.972869919,-2.391780105,1,0,0,0,1,1,0,0,0,1,1,1
Contract,Mid-Senior level,Unspecified,120,358,0,0,-3.972869919,-4.708274573,0,0,0,0,1,0,0,0,1,0,1,0
Full-time,Unspecified,Unspecified,116,342,184,99,-4.308790063,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Not Applicable,Certification,119,181,115,94,-2.169675367,-5.775604967,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Entry level,High School or equivalent,88,304,174,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,Bachelor's Degree,0,470,18,106,-5.60491141,-3.981639589,1,0,1,1,0,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,136,101,0,0,-2.823138472,-2.898919407,0,0,0,0,1,0,1,0,0,0,1,0
Full-time,Unspecified,Unspecified,116,242,182,166,-4.308790063,-2.898919407,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Bachelor's Degree,90,355,181,107,-5.60491141,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,110,369,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,1,0,1,0
Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0,0
Unspecified,Unspecified,Unspecified,0,188,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Full-time,Mid-Senior level,Unspecified,389,56,30,0,-3.769772449,-4.403047312,0,0,0,0,1,0,1,0,1,0,1,0
Full-time,Entry level,High School or equivalent,88,190,91,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,Unspecified,99,193,86,0,-3.972869919,-1.458699604,0,0,1,0,1,0,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,88,378,52,0,-3.028126795,-3.943048543,1,0,0,0,1,0,0,0,0,0,1,0
Contract,Unspecified,Unspecified,0,309,34,0,-2.823138472,-2.898919407,1,0,0,0,0,0,1,1,1,0,0,0
Full-time,Not Applicable,Unspecified,0,91,6,6,-2.498791322,-4.403047312,1,0,0,0,0,1,0,0,0,0,0,0
Part-time,Entry level,High School or equivalent,88,156,91,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Unspecified,Unspecified,Unspecified,186,646,0,2,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,1,1,1,0
Full-time,Unspecified,Bachelor's Degree,55,69,72,0,-3.972869919,-2.391780105,1,0,0,0,1,1,0,0,0,0,1,0
Unspecified,Unspecified,Unspecified,76,54,0,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,0,0,0
Unspecified,Unspecified,Unspecified,209,204,82,53,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,1,1,0
Full-time,Entry level,Bachelor's Degree,77,71,30,11,-9.996358046,-2.391780105,1,0,0,0,1,1,0,0,1,0,0,0
